"","bin","state","type","dis_sd","dis_var","h_sd","h_var","bin2","f","cf"
"97","states_1_5_428","Activating","No Known Liver Disease",0.172930872861693,0.0299050867887069,0.179059465215554,0.0320622920832802,97,0.932718306945428,1.22393322372453
"98","states_1_5_441","Activating","No Known Liver Disease",0.209121765512628,0.0437319128111187,0.196048946097043,0.0384351892657612,98,1.137809222396,1.22393322372453
"99","states_1_5_462","Activating","No Known Liver Disease",0.198142795211201,0.0392605672941078,0.219937702339104,0.0483725929102045,99,0.811628340184046,1.22393322372453
"100","states_1_5_545","Activating","No Known Liver Disease",0.191070737408236,0.0365080266937272,0.189422086796981,0.0358807269665231,100,1.01748291576671,1.22393322372453
"101","states_1_5_546","Activating","No Known Liver Disease",0.195647297548204,0.0382778650379155,0.23661076686728,0.0559846549975225,101,0.683720655947766,1.22393322372453
"102","states_1_5_56","Activating","No Known Liver Disease",0.206679003399123,0.0427162104460546,0.224746791761341,0.0505111204070154,102,0.84567932965751,1.22393322372453
"103","states_1_5_83","Activating","No Known Liver Disease",0.168189228056507,0.0282876164342436,0.225642079124083,0.050914347871439,103,0.555592237097313,1.22393322372453
"104","states_1_5_98","Activating","No Known Liver Disease",0.153742289427638,0.0236366915584517,0.170830718769679,0.0291831344753651,104,0.809943550731486,1.22393322372453
"105","H3K27me3-human_GM12878_ENCFF001SUI_108","H3K27me3","No Known Liver Disease",0.171001504583326,0.0292415145697612,0.175473516372218,0.0307909549480312,105,0.949678716334547,1.22393322372453
"106","H3K27me3-human_GM12878_ENCFF001SUI_11","H3K27me3","No Known Liver Disease",0.196439593351851,0.0385885138362404,0.182967120162115,0.0334769670604178,106,1.15268846686731,1.22393322372453
"107","H3K27me3-human_GM12878_ENCFF001SUI_13","H3K27me3","No Known Liver Disease",0.206504476083542,0.0426440986425382,0.207616718391785,0.0431047017557736,107,0.989314318520399,1.22393322372453
"108","H3K27me3-human_GM12878_ENCFF001SUI_145","H3K27me3","No Known Liver Disease",0.210914881812887,0.0444850873701441,0.267810769195637,0.0717226080971588,108,0.62023800514731,1.22393322372453
"109","H3K27me3-human_GM12878_ENCFF001SUI_158","H3K27me3","No Known Liver Disease",0.154794019543402,0.0239611884864033,0.18773024917615,0.0352426464557395,109,0.679891861029665,1.22393322372453
"110","H3K27me3-human_GM12878_ENCFF001SUI_169","H3K27me3","No Known Liver Disease",0.182546895853675,0.0333233691858123,0.199240554297451,0.0396967984767556,110,0.839447271933648,1.22393322372453
"111","H3K27me3-human_GM12878_ENCFF001SUI_190","H3K27me3","No Known Liver Disease",0.17666181740555,0.031209397729032,0.287005975351545,0.0823724298874917,111,0.378881596326092,1.22393322372453
"112","H3K27me3-human_GM12878_ENCFF001SUI_212","H3K27me3","No Known Liver Disease",0.192984947055442,0.0372431897899917,0.228001042234587,0.0519844752600581,112,0.716429080098982,1.22393322372453
"113","H3K27me3-human_GM12878_ENCFF001SUI_222","H3K27me3","No Known Liver Disease",0.230101981119826,0.0529469217152689,0.238972788880858,0.0571079938254951,113,0.92713678363591,1.22393322372453
"114","H3K27me3-human_GM12878_ENCFF001SUI_237","H3K27me3","No Known Liver Disease",0.190334156536173,0.0362270911443365,0.200614230306947,0.0402460694016486,114,0.900139856709897,1.22393322372453
"115","H3K27me3-human_GM12878_ENCFF001SUI_238","H3K27me3","No Known Liver Disease",0.171372485119043,0.0293685286558766,0.228698391534218,0.0523029542903385,115,0.561508026733046,1.22393322372453
"116","H3K27me3-human_GM12878_ENCFF001SUI_25","H3K27me3","No Known Liver Disease",0.237397304480322,0.0563574801745229,0.219297271685392,0.0480912933686568,116,1.17188530868778,1.22393322372453
"117","H3K27me3-human_GM12878_ENCFF001SUI_265","H3K27me3","No Known Liver Disease",0.220261797247038,0.0485152593264952,0.194883973217249,0.0379797630169415,117,1.27739763159802,1.22393322372453
"118","H3K27me3-human_GM12878_ENCFF001SUI_27","H3K27me3","No Known Liver Disease",0.176079055890039,0.0310038339231276,0.177582829649175,0.0315356613862079,118,0.983135680695985,1.22393322372453
"119","H3K27me3-human_GM12878_ENCFF001SUI_288","H3K27me3","No Known Liver Disease",0.183381962861317,0.0336289443028693,0.235135330069549,0.0552886234469156,119,0.608243472278842,1.22393322372453
"120","H3K27me3-human_GM12878_ENCFF001SUI_294","H3K27me3","No Known Liver Disease",0.217181102011028,0.0471676310707247,0.215293607516689,0.0463513374375502,120,1.01761100495265,1.22393322372453
"121","H3K27me3-human_GM12878_ENCFF001SUI_300","H3K27me3","No Known Liver Disease",0.173322396302941,0.0300406530601937,0.174889291518309,0.0305862642877761,121,0.982161560416504,1.22393322372453
"122","H3K27me3-human_GM12878_ENCFF001SUI_301","H3K27me3","No Known Liver Disease",0.192916658797005,0.0372168372413999,0.169379312080193,0.0286893513607596,122,1.29723522757311,1.22393322372453
"123","H3K27me3-human_GM12878_ENCFF001SUI_303","H3K27me3","No Known Liver Disease",0.140528530550455,0.0197482678986703,0.179877177617039,0.0323557990274718,123,0.610347093635456,1.22393322372453
"124","H3K27me3-human_GM12878_ENCFF001SUI_307","H3K27me3","No Known Liver Disease",0.223510126579883,0.0499567766837555,0.219957025819594,0.0483810932074016,124,1.03256816603129,1.22393322372453
