"","tool","population","sensitivity","specificity"
"102","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.57234712741453,0.785014550050486
"103","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.551206166636843,0.84913071956877
"104","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.409011206317493,0.820939881245876
"105","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.483965287185515,0.80929625539278
"106","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.628943034856477,0.815163689919807
"107","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.535283424313659,0.802400424090541
"108","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.440617948190686,0.807983464821544
"109","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.408855077081344,0.7859936173524
"110","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.58564599600176,0.81188063228295
"111","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.524225587488827,0.831394391338348
"112","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.427156633403393,0.827330106878259
"113","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.306154013471995,0.838300852860527
"114","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.40438665067366,0.829680475858885
"115","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.402880787232759,0.848159051528497
"116","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.404240172662325,0.808394812555953
"117","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.547421317636656,0.813822433142322
"118","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.566182413318306,0.787845963842368
"119","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.450178503300569,0.795170574991377
"120","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.506781308737503,0.846974592556585
"121","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.376283434682248,0.778673796214793
"122","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.628512086477951,0.815823227645874
"123","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.489682217801296,0.796666617516385
"124","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.568839339969003,0.758156263646291
"125","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.580266852679415,0.822538750572812
"126","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.305197447307305,0.818763504163318
"127","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.55925076893689,0.853928860588434
"128","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.455526191019504,0.798626503008499
"129","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.36167460522624,0.81180909102188
"130","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.525441701062439,0.829306995100913
"131","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.443943412446897,0.831153247093779
"132","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.389159472533125,0.851753036301226
"133","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.629513734022504,0.847062913472613
"134","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.641957699567935,0.849333018287333
"135","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.335026980305727,0.816126202829376
"136","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.31429945824783,0.823413848076191
"137","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.247030062919748,0.852451071306247
"138","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.616444993839386,0.841078171324573
"139","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.71505545344429,0.867178741274465
