"","tool","population","sensitivity","specificity"
"78","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.747918802216309,0.814452941529745
"79","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.779817755841082,0.873889066298677
"80","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.772683974546161,0.827318519570926
"81","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.793065737285016,0.828757844909945
"82","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.774165500671082,0.824485678795898
"83","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.771863592773296,0.824495977803015
"84","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.779334942484187,0.799646791608823
"85","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.773388850548681,0.79156286387647
"86","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.754078503710954,0.804050827875803
"87","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.71721417175946,0.827409591416727
"88","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.787261698077673,0.785181711821861
"89","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.782273321650116,0.785014550050486
"90","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.760896546055641,0.84913071956877
"91","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.757025735620263,0.820939881245876
"92","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.739165664909315,0.80929625539278
"93","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.701044651942717,0.815163689919807
"94","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.748489591392592,0.802400424090541
"95","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.764022470982902,0.807983464821544
"96","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.782386045820469,0.7859936173524
"97","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.762278790621924,0.81188063228295
"98","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.751221392924299,0.831394391338348
"99","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.757788627119799,0.827330106878259
"100","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.798571208447175,0.838300852860527
"101","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.77763451571418,0.829680475858885
"102","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.732551646029825,0.848159051528497
"103","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.762618112827473,0.808394812555953
"104","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.789841300319758,0.813822433142322
"105","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.798614098697512,0.787845963842368
"106","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.746988165425885,0.795170574991377
"107","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.765919595929806,0.846974592556585
"108","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.79357233230489,0.778673796214793
"109","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.826812381800808,0.815823227645874
"110","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.799840894563313,0.796666617516385
"111","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.800254028293904,0.758156263646291
