"","training","fam","f","type","n","out","perc","c2"
"76","Discovery","LINE","L1MA4#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"77","Discovery","LINE","L1MA4A#LINE_L1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"78","Discovery","LINE","L1MA4A#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"79","Discovery","LINE","L1MA5#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"80","Discovery","LINE","L1MA5#LINE_L1","No Known Liver Disease",291,13,0.0446735395189003,"FALSE"
"81","Discovery","LINE","L1MA5A#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"82","Discovery","LINE","L1MA5A#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"83","Discovery","LINE","L1MA6#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"84","Discovery","LINE","L1MA6#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"85","Discovery","LINE","L1MA7#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"86","Discovery","LINE","L1MA7#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"87","Discovery","LINE","L1MA8#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"88","Discovery","LINE","L1MA8#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"89","Discovery","LINE","L1MA9#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"90","Discovery","LINE","L1MA9#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"91","Discovery","LINE","L1MB1#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"92","Discovery","LINE","L1MB1#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"93","Discovery","LINE","L1MB2#LINE_L1","Advanced Fibrosis/Cirrhosis",71,2,0.028169014084507,"FALSE"
"94","Discovery","LINE","L1MB2#LINE_L1","No Known Liver Disease",291,14,0.0481099656357388,"FALSE"
"95","Discovery","LINE","L1MB3#LINE_L1","Advanced Fibrosis/Cirrhosis",71,8,0.112676056338028,"Advanced Fibrosis/Cirrhosis"
"96","Discovery","LINE","L1MB3#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"97","Discovery","LINE","L1MB4#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"98","Discovery","LINE","L1MB4#LINE_L1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"99","Discovery","LINE","L1MB5#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"100","Discovery","LINE","L1MB5#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"101","Discovery","LINE","L1MB7#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"102","Discovery","LINE","L1MB7#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"103","Discovery","LINE","L1MB8#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"104","Discovery","LINE","L1MB8#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"105","Discovery","LINE","L1MC#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"106","Discovery","LINE","L1MC#LINE_L1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"107","Discovery","LINE","L1MC1#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"108","Discovery","LINE","L1MC1#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"109","Discovery","LINE","L1MC2#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"110","Discovery","LINE","L1MC2#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"111","Discovery","LINE","L1MC3#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"112","Discovery","LINE","L1MC3#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"113","Discovery","LINE","L1MC4#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"114","Discovery","LINE","L1MC4#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"115","Discovery","LINE","L1MC4a#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"116","Discovery","LINE","L1MC4a#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"117","Discovery","LINE","L1MC5#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"118","Discovery","LINE","L1MC5#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"119","Discovery","LINE","L1MC5a#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"120","Discovery","LINE","L1MC5a#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"121","Discovery","LINE","L1MCa#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"122","Discovery","LINE","L1MCa#LINE_L1","No Known Liver Disease",291,7,0.0240549828178694,"FALSE"
"123","Discovery","LINE","L1MCb#LINE_L1","Advanced Fibrosis/Cirrhosis",71,8,0.112676056338028,"Advanced Fibrosis/Cirrhosis"
"124","Discovery","LINE","L1MCb#LINE_L1","No Known Liver Disease",291,7,0.0240549828178694,"FALSE"
"125","Discovery","LINE","L1MCc#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"126","Discovery","LINE","L1MCc#LINE_L1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"127","Discovery","LINE","L1MD#LINE_L1","Advanced Fibrosis/Cirrhosis",71,3,0.0422535211267606,"FALSE"
"128","Discovery","LINE","L1MD#LINE_L1","No Known Liver Disease",291,14,0.0481099656357388,"FALSE"
"129","Discovery","LINE","L1MD1#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"130","Discovery","LINE","L1MD1#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"131","Discovery","LINE","L1MD2#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"132","Discovery","LINE","L1MD2#LINE_L1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"133","Discovery","LINE","L1MD3#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"134","Discovery","LINE","L1MD3#LINE_L1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"135","Discovery","LINE","L1MDa#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"136","Discovery","LINE","L1MDa#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"137","Discovery","LINE","L1MDb#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"138","Discovery","LINE","L1MDb#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"139","Discovery","LINE","L1ME1#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"140","Discovery","LINE","L1ME1#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"141","Discovery","LINE","L1ME2#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"142","Discovery","LINE","L1ME2#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"143","Discovery","LINE","L1ME2z#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"144","Discovery","LINE","L1ME2z#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"145","Discovery","LINE","L1ME3#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"146","Discovery","LINE","L1ME3#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"147","Discovery","LINE","L1ME3A#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"148","Discovery","LINE","L1ME3A#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"149","Discovery","LINE","L1ME3B#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"150","Discovery","LINE","L1ME3B#LINE_L1","No Known Liver Disease",291,7,0.0240549828178694,"FALSE"
"151","Discovery","LINE","L1ME3C#LINE_L1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"152","Discovery","LINE","L1ME3C#LINE_L1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"153","Discovery","LINE","L1ME3Cz#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"154","Discovery","LINE","L1ME3Cz#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"155","Discovery","LINE","L1ME3D#LINE_L1","Advanced Fibrosis/Cirrhosis",71,2,0.028169014084507,"FALSE"
"156","Discovery","LINE","L1ME3D#LINE_L1","No Known Liver Disease",291,15,0.0515463917525773,"FALSE"
"157","Discovery","LINE","L1ME3E#LINE_L1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"158","Discovery","LINE","L1ME3E#LINE_L1","No Known Liver Disease",291,14,0.0481099656357388,"FALSE"
"159","Discovery","LINE","L1ME3F#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"160","Discovery","LINE","L1ME3F#LINE_L1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"161","Discovery","LINE","L1ME3G#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"162","Discovery","LINE","L1ME3G#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"163","Discovery","LINE","L1ME4a#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"164","Discovery","LINE","L1ME4a#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"165","Discovery","LINE","L1ME4b#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"166","Discovery","LINE","L1ME4b#LINE_L1","No Known Liver Disease",291,7,0.0240549828178694,"FALSE"
"167","Discovery","LINE","L1ME4c#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"168","Discovery","LINE","L1ME4c#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"169","Discovery","LINE","L1ME5#LINE_L1","Advanced Fibrosis/Cirrhosis",71,8,0.112676056338028,"Advanced Fibrosis/Cirrhosis"
"170","Discovery","LINE","L1ME5#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"171","Discovery","LINE","L1MEa#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"172","Discovery","LINE","L1MEa#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"173","Discovery","LINE","L1MEb#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"174","Discovery","LINE","L1MEb#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"175","Discovery","LINE","L1MEc#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"176","Discovery","LINE","L1MEc#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"177","Discovery","LINE","L1MEd#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"178","Discovery","LINE","L1MEd#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"179","Discovery","LINE","L1MEf#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"180","Discovery","LINE","L1MEf#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"181","Discovery","LINE","L1MEg#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"182","Discovery","LINE","L1MEg#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"183","Discovery","LINE","L1MEg1#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"184","Discovery","LINE","L1MEg1#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"185","Discovery","LINE","L1MEg2#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"186","Discovery","LINE","L1MEg2#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"187","Discovery","LINE","L1MEh#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"188","Discovery","LINE","L1MEh#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"189","Discovery","LINE","L1MEi#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"190","Discovery","LINE","L1MEi#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"191","Discovery","LINE","L1MEj#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"192","Discovery","LINE","L1MEj#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"193","Discovery","LINE","L1P#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"194","Discovery","LINE","L1P#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"195","Discovery","LINE","L1P1#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"196","Discovery","LINE","L1P1#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"197","Discovery","LINE","L1P2#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"198","Discovery","LINE","L1P2#LINE_L1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"199","Discovery","LINE","L1P3#LINE_L1","Advanced Fibrosis/Cirrhosis",71,8,0.112676056338028,"Advanced Fibrosis/Cirrhosis"
"200","Discovery","LINE","L1P3#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"201","Discovery","LINE","L1P3b#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"202","Discovery","LINE","L1P3b#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"203","Discovery","LINE","L1P4#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"204","Discovery","LINE","L1P4#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"205","Discovery","LINE","L1P4a#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"206","Discovery","LINE","L1P4a#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"207","Discovery","LINE","L1P4d#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"208","Discovery","LINE","L1P4d#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"209","Discovery","LINE","L1P4e#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"210","Discovery","LINE","L1P4e#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"211","Discovery","LINE","L1P5#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"212","Discovery","LINE","L1P5#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"213","Discovery","LINE","L1PA10#LINE_L1","Advanced Fibrosis/Cirrhosis",71,8,0.112676056338028,"Advanced Fibrosis/Cirrhosis"
"214","Discovery","LINE","L1PA10#LINE_L1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"215","Discovery","LINE","L1PA11#LINE_L1","Advanced Fibrosis/Cirrhosis",71,8,0.112676056338028,"Advanced Fibrosis/Cirrhosis"
"216","Discovery","LINE","L1PA11#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"217","Discovery","LINE","L1PA12#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"218","Discovery","LINE","L1PA12#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"219","Discovery","LINE","L1PA13#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"220","Discovery","LINE","L1PA13#LINE_L1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"221","Discovery","LINE","L1PA14#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"222","Discovery","LINE","L1PA14#LINE_L1","No Known Liver Disease",291,7,0.0240549828178694,"FALSE"
"223","Discovery","LINE","L1PA15#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"224","Discovery","LINE","L1PA15#LINE_L1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"225","Discovery","LINE","L1PA15-16#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"226","Discovery","LINE","L1PA15-16#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"227","Discovery","LINE","L1PA16#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"228","Discovery","LINE","L1PA16#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"229","Discovery","LINE","L1PA17#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"230","Discovery","LINE","L1PA17#LINE_L1","No Known Liver Disease",291,6,0.0206185567010309,"FALSE"
"231","Discovery","LINE","L1PA2#LINE_L1","Advanced Fibrosis/Cirrhosis",71,9,0.126760563380282,"Advanced Fibrosis/Cirrhosis"
