"","tool","metric","score"
"130","cfDNA Fragmentome LCr Score","fnr",0.478957552303785
"131","cfDNA Fragmentome LCr Score","fnr",0.560900659291541
"132","cfDNA Fragmentome LCr Score","fnr",0.6096918767507
"133","cfDNA Fragmentome LCr Score","fnr",0.367044175110935
"134","cfDNA Fragmentome LCr Score","fnr",0.356959396688344
"135","cfDNA Fragmentome LCr Score","fnr",0.665098890496864
"136","cfDNA Fragmentome LCr Score","fnr",0.681690645334607
"137","cfDNA Fragmentome LCr Score","fnr",0.75732094554863
"138","cfDNA Fragmentome LCr Score","fnr",0.381393475634313
"139","cfDNA Fragmentome LCr Score","fnr",0.284550213156333
"140","cfDNA Fragmentome LCr Score","fnr",0.576372655225497
"141","cfDNA Fragmentome LCr Score","fnr",0.401483971943655
"142","cfDNA Fragmentome LCr Score","fnr",0.499362000765599
"143","cfDNA Fragmentome LCr Score","fnr",0.52869793374877
"144","cfDNA Fragmentome LCr Score","fnr",0.567270826071802
"145","cfDNA Fragmentome LCr Score","fnr",0.478453483689086
"146","cfDNA Fragmentome LCr Score","fnr",0.526090315331133
"147","cfDNA Fragmentome LCr Score","fnr",0.563513420271855
"148","cfDNA Fragmentome LCr Score","fnr",0.403850855745721
"149","cfDNA Fragmentome LCr Score","fnr",0.515956519211765
"150","cfDNA Fragmentome LCr Score","fnr",0.330134147671502
"151","cfDNA Fragmentome LCr Score","fnr",0.383408465546514
"152","cfDNA Fragmentome LCr Score","fnr",0.452816901408451
"153","cfDNA Fragmentome LCr Score","fnr",0.555583983625432
"154","cfDNA Fragmentome LCr Score","fnr",0.410250990752972
"155","cfDNA Fragmentome LCr Score","fnr",0.622398528228125
"156","cfDNA Fragmentome LCr Score","fnr",0.519030851777331
"157","cfDNA Fragmentome LCr Score","fnr",0.350139869455175
"158","cfDNA Fragmentome LCr Score","fnr",0.669585719097339
"159","cfDNA Fragmentome LCr Score","fnr",0.621594289113623
"160","cfDNA Fragmentome LCr Score","fnr",0.54745276379189
"161","cfDNA Fragmentome LCr Score","fnr",0.572118663332576
"162","cfDNA Fragmentome LCr Score","fnr",0.566022861647615
"163","cfDNA Fragmentome LCr Score","fnr",0.432500810898476
"164","cfDNA Fragmentome LCr Score","fnr",0.464068441064639
"165","cfDNA Fragmentome LCr Score","fnr",0.383641359987068
"166","cfDNA Fragmentome LCr Score","fnr",0.648934089575592
"167","cfDNA Fragmentome LCr Score","fnr",0.627263875365141
"168","cfDNA Fragmentome LCr Score","fnr",0.50783893525829
"169","cfDNA Fragmentome LCr Score","fnr",0.458294824399261
"170","cfDNA Fragmentome LCr Score","fnr",0.538424213016316
"171","cfDNA Fragmentome LCr Score","fnr",0.505127417869205
"172","cfDNA Fragmentome LCr Score","fnr",0.490483891031223
"173","cfDNA Fragmentome LCr Score","fnr",0.40027659190668
"174","cfDNA Fragmentome LCr Score","fnr",0.479204339963834
"175","cfDNA Fragmentome LCr Score","fnr",0.564707290793727
"176","cfDNA Fragmentome LCr Score","fnr",0.433659448169726
"177","cfDNA Fragmentome LCr Score","fnr",0.460747720736707
"178","cfDNA Fragmentome LCr Score","fnr",0.26815897670169
"179","cfDNA Fragmentome LCr Score","fnr",0.47499245852187
"180","cfDNA Fragmentome LCr Score","fnr",0.522900763358779
"181","cfDNA Fragmentome LCr Score","fnr",0.439386469460422
"182","cfDNA Fragmentome LCr Score","fnr",0.56540546775868
"183","cfDNA Fragmentome LCr Score","fnr",0.440167656304576
"184","cfDNA Fragmentome LCr Score","fnr",0.570189733441974
"185","cfDNA Fragmentome LCr Score","fnr",0.421547490717451
"186","cfDNA Fragmentome LCr Score","fnr",0.435975239713557
"187","cfDNA Fragmentome LCr Score","fnr",0.715643906655143
"188","cfDNA Fragmentome LCr Score","fnr",0.516272100689242
"189","cfDNA Fragmentome LCr Score","fnr",0.311082383358797
"190","cfDNA Fragmentome LCr Score","fnr",0.228108165205451
"191","cfDNA Fragmentome LCr Score","fnr",0.669460396295721
"192","cfDNA Fragmentome LCr Score","fnr",0.502105081031201
"193","cfDNA Fragmentome LCr Score","fnr",0.482282008986975
"194","cfDNA Fragmentome LCr Score","fnr",0.592099726488534
"195","cfDNA Fragmentome LCr Score","fnr",0.611686973389101
"196","cfDNA Fragmentome LCr Score","fnr",0.551336764152128
"197","cfDNA Fragmentome LCr Score","fnr",0.440225395402446
"198","cfDNA Fragmentome LCr Score","fnr",0.354865556978233
"199","cfDNA Fragmentome LCr Score","fnr",0.475983436853002
"200","cfDNA Fragmentome LCr Score","fnr",0.541772151898734
"201","cfDNA Fragmentome LCr Score","fnr",0.403057603057603
"202","cfDNA Fragmentome LCr Score","fnr",0.328911198757022
"203","cfDNA Fragmentome LCr Score","fnr",0.723586768699087
"204","cfDNA Fragmentome LCr Score","fnr",0.412910532276331
"205","cfDNA Fragmentome LCr Score","fnr",0.480670103092784
"206","cfDNA Fragmentome LCr Score","fnr",0.61199809364947
