"","bin","state","type","dis_sd","dis_var","h_sd","h_var","bin2","f","cf"
"36","states_7_9_357","3' Transcription","Advanced Fibrosis/Cirrhosis",0.261566871745456,0.068417228394704,0.191943953364648,0.0368424812332503,36,1.85702010571854,1.3424240398442
"37","states_7_9_370","3' Transcription","Advanced Fibrosis/Cirrhosis",0.192453519712284,0.0370383572496464,0.154863525732906,0.0239827116024265,37,1.54437737748966,1.3424240398442
"38","states_7_9_378","3' Transcription","Advanced Fibrosis/Cirrhosis",0.250012828470863,0.0625064144000012,0.210957856586788,0.0445032172556917,38,1.40453698079563,1.3424240398442
"39","states_7_9_393","3' Transcription","Advanced Fibrosis/Cirrhosis",0.264306000143361,0.0698576617117822,0.173218930838652,0.0300047980008855,39,2.32821636425349,1.3424240398442
"40","states_7_9_398","3' Transcription","Advanced Fibrosis/Cirrhosis",0.252484938661325,0.0637486442508133,0.199393688436264,0.0397578429882179,40,1.60342310999379,1.3424240398442
"41","states_7_9_399","3' Transcription","Advanced Fibrosis/Cirrhosis",0.273797238747295,0.0749649279456431,0.193878837234244,0.0375890035273025,41,1.99433134456977,1.3424240398442
"42","states_7_9_4","3' Transcription","Advanced Fibrosis/Cirrhosis",0.228012819206622,0.0519898457225515,0.202844861159616,0.041146037698864,42,1.26354440500566,1.3424240398442
"43","states_7_9_400","3' Transcription","Advanced Fibrosis/Cirrhosis",0.265893863877151,0.0706995468475207,0.201429650571372,0.0405739041293049,43,1.74248814267931,1.3424240398442
"44","states_7_9_418","3' Transcription","Advanced Fibrosis/Cirrhosis",0.230621670028364,0.0531863546866717,0.195913306958565,0.0383820238434409,44,1.38571001111399,1.3424240398442
"45","states_7_9_419","3' Transcription","Advanced Fibrosis/Cirrhosis",0.220091125203762,0.0484401033934579,0.193319927861609,0.0373725945084175,45,1.29613969890551,1.3424240398442
"46","states_7_9_422","3' Transcription","Advanced Fibrosis/Cirrhosis",0.21358553242702,0.0456187796621337,0.188418905460173,0.0355016839348095,46,1.28497509430544,1.3424240398442
"47","states_7_9_424","3' Transcription","Advanced Fibrosis/Cirrhosis",0.226935888170156,0.0514998973395777,0.187281576673373,0.0350743889612643,47,1.46830490465432,1.3424240398442
"48","states_7_9_430","3' Transcription","Advanced Fibrosis/Cirrhosis",0.183310828607782,0.0336028598848718,0.165026137616108,0.0272336260964908,48,1.23387387951257,1.3424240398442
"49","states_7_9_437","3' Transcription","Advanced Fibrosis/Cirrhosis",0.361288746380476,0.130529558261176,0.18111063597595,0.032801062463613,49,3,1.3424240398442
"50","states_7_9_447","3' Transcription","Advanced Fibrosis/Cirrhosis",0.18650585118899,0.0347844325277296,0.189553077924298,0.0359303693505748,50,0.968106734120536,1.3424240398442
"51","states_7_9_448","3' Transcription","Advanced Fibrosis/Cirrhosis",0.181993930731495,0.0331217908231002,0.179955122760653,0.0323838462078016,51,1.02278742958953,1.3424240398442
"52","states_7_9_451","3' Transcription","Advanced Fibrosis/Cirrhosis",0.232215538321439,0.0539240562379157,0.166422930637338,0.0276965918419204,52,1.94695638169815,1.3424240398442
"53","states_7_9_456","3' Transcription","Advanced Fibrosis/Cirrhosis",0.268408391791204,0.0720430647839407,0.218461174594339,0.0477252848051382,53,1.50953661309915,1.3424240398442
