"","d","p","lfc","comp","gene"
"88",0.322346769363228,0.0180109626355387,-1.3843392505353,"LC v. H - CV","ABCG8"
"89",-0.835618372406427,2.78421922933702e-09,-1.18889330102207,"LC v. H - CV","ABHD1"
"90",0.220965611525698,0.0867684650296504,-0.187556941577018,"LC v. H - CV","ABHD10"
"91",-0.554767179937155,0.000108548853427227,-0.291505843868664,"LC v. H - CV","ABHD11-AS1"
"92",-0.554767179937155,0.000108548853427227,-0.291505843868664,"LC v. H - CV","ABHD11"
"93",0.201210607328807,0.0515700488513552,0.122152488229435,"LC v. H - CV","ABHD12"
"94",-0.731042695089252,1.41236620515303e-08,-0.567955990167493,"LC v. H - CV","ABHD12B"
"95",0.382232037992237,0.0232525758626409,0.416595235513355,"LC v. H - CV","ABHD13"
"96",-0.269019746152179,0.0840106230678219,-0.18894404157125,"LC v. H - CV","ABHD14A-ACY1"
"97",-0.269019746152179,0.0840106230678219,-0.18894404157125,"LC v. H - CV","ABHD14A"
"98",-0.269019746152179,0.0840106230678219,-0.18894404157125,"LC v. H - CV","ABHD14B"
"99",-0.135326247631619,0.218885062428289,-0.0442231393979414,"LC v. H - CV","ABHD15"
"100",-0.539965746309231,6.62002556060483e-05,-0.166928406794741,"LC v. H - CV","ABHD16A"
"101",-0.176537569903745,0.271124429242331,-0.0529737328677293,"LC v. H - CV","ABHD16B"
"102",-0.442369352062225,0.000349002154351337,-0.086970576777548,"LC v. H - CV","ABHD17A"
"103",0.0450030028927289,0.809090950247696,0.0300996763887381,"LC v. H - CV","ABHD17B"
"104",0.108129341641372,0.463161344550245,-0.0383825531516921,"LC v. H - CV","ABHD17C"
"105",0.00942586433214149,0.365775468089872,0.00296811103221993,"LC v. H - CV","ABHD18"
"106",-0.56923375819031,0.000158704021978633,-0.530843874128223,"LC v. H - CV","ABHD2"
"107",-0.16594319046282,0.313995792518969,-0.0843982734603237,"LC v. H - CV","ABHD3"
"108",-0.10738464245036,0.317045161136558,-0.119923176241391,"LC v. H - CV","ABHD4"
"109",-0.267509789012228,0.0618993779337731,-1.80547640027479,"LC v. H - CV","ABHD5"
"110",-0.0122977135272167,0.925423911215079,-0.0346668761116317,"LC v. H - CV","ABHD6"
"111",-0.478790755298834,0.00029152240092662,-0.104240875701424,"LC v. H - CV","ABHD8"
"112",0.315683381102991,0.164869965138039,0.146407510922111,"LC v. H - CV","ABI1"
"113",0.04749941734033,0.50744845867912,0.0205401577204088,"LC v. H - CV","ABI2"
"114",-0.844780844500205,5.29623226044971e-09,-0.615938018509691,"LC v. H - CV","ABI3"
"115",0.198896607970594,0.0114529281430117,-0.186286311132087,"LC v. H - CV","ABI3BP"
"116",0.30693336763688,0.026252424428628,-2.75490907893341,"LC v. H - CV","ABITRAM"
"117",0.101214923918558,0.355804737925803,0.19621377093089,"LC v. H - CV","ABL1"
"118",0.0820916347153176,0.393907071213755,0.0471193453643663,"LC v. H - CV","ABL2"
"119",-0.264358962619232,0.116470817992875,0.19959964148238,"LC v. H - CV","ABLIM1"
"120",0.213120255779893,0.220786829404626,-0.15861985285039,"LC v. H - CV","ABLIM2"
