"","tool","metric","score"
"198","cfDNA Fragmentome LCr Score","fnr",0.16468085106383
"199","cfDNA Fragmentome LCr Score","fnr",0.239920159680639
"200","cfDNA Fragmentome LCr Score","fnr",0.239016525594518
"201","cfDNA Fragmentome LCr Score","fnr",0.182335102350265
"202","cfDNA Fragmentome LCr Score","fnr",0.176581680830973
"203","cfDNA Fragmentome LCr Score","fnr",0.219189080690486
"204","cfDNA Fragmentome LCr Score","fnr",0.247324159021407
"205","cfDNA Fragmentome LCr Score","fnr",0.280137772675086
"206","cfDNA Fragmentome LCr Score","fnr",0.222823984526112
"207","cfDNA Fragmentome LCr Score","fnr",0.205080831408776
"208","cfDNA Fragmentome LCr Score","fnr",0.233539891556933
"209","cfDNA Fragmentome LCr Score","fnr",0.183724832214765
"210","cfDNA Fragmentome LCr Score","fnr",0.251062022090059
"211","cfDNA Fragmentome LCr Score","fnr",0.239949748743719
"212","cfDNA Fragmentome LCr Score","fnr",0.25070821529745
"213","cfDNA Fragmentome LCr Score","fnr",0.206456755679554
"214","cfDNA Fragmentome LCr Score","fnr",0.24761113419194
"215","cfDNA Fragmentome LCr Score","fnr",0.173382173382173
"216","cfDNA Fragmentome LCr Score","fnr",0.26192337763878
"217","cfDNA Fragmentome LCr Score","fnr",0.175932977913176
"218","cfDNA Fragmentome LCr Score","fnr",0.260024803637867
"219","cfDNA Fragmentome LCr Score","fnr",0.207929515418502
"220","cfDNA Fragmentome LCr Score","fnr",0.248480243161094
"221","cfDNA Fragmentome LCr Score","fnr",0.222372575552548
"222","cfDNA Fragmentome LCr Score","fnr",0.146295599849567
"223","cfDNA Fragmentome LCr Score","fnr",0.222511951325511
"224","cfDNA Fragmentome LCr Score","fnr",0.254049445865303
"225","cfDNA Fragmentome LCr Score","fnr",0.191577973160574
"226","cfDNA Fragmentome LCr Score","fnr",0.226966292134831
"227","cfDNA Fragmentome LCr Score","fnr",0.216012084592145
"228","cfDNA Fragmentome LCr Score","fnr",0.268663594470046
"229","cfDNA Fragmentome LCr Score","fnr",0.193411264612115
"230","cfDNA Fragmentome LCr Score","fnr",0.202004626060139
"231","cfDNA Fragmentome LCr Score","fnr",0.188065099457505
"232","cfDNA Fragmentome LCr Score","fnr",0.185395537525355
"233","cfDNA Fragmentome LCr Score","fnr",0.252707581227437
"234","cfDNA Fragmentome LCr Score","fnr",0.180197268588771
"235","cfDNA Fragmentome LCr Score","fnr",0.205679201841903
"236","cfDNA Fragmentome LCr Score","fnr",0.249342846413819
"237","cfDNA Fragmentome LCr Score","fnr",0.235216819973719
"238","cfDNA Fragmentome LCr Score","fnr",0.276353276353276
"239","cfDNA Fragmentome LCr Score","fnr",0.260008609556608
"240","cfDNA Fragmentome LCr Score","fnr",0.231778425655977
"241","cfDNA Fragmentome LCr Score","fnr",0.250099720781811
